Velocity/(rpm),Current/(A),Current/(A),Current/(A),Angle/(rad),Angle/(rad),Tem/(Nm),Current/(A),Current/(A),Current/(A),Current/(A),Force/(N),Force/(N),Force/(N),Force/(N),Displacement/(um),Displacement/(um),Velocity/(m/s),Velocity/(m/s),Angle/(rad)
159.371656,0.000000,14.866343,0.000000,0.136402,0.136402,0.051610,0.000000,0.000000,0.000000,0.000000,0.011965,0.000000,-0.002583,0.000000,-0.001987,0.000000,-0.000008,0.000000,-0.122173
164.205600,0.000000,15.077569,0.000000,0.136741,0.136741,0.053075,0.000000,0.000000,0.000000,0.000000,0.011965,0.000000,-0.002783,0.000000,-0.002141,0.000000,-0.000008,0.000000,-0.122173
169.079359,0.000000,14.930864,0.000000,0.137090,0.137090,0.052035,0.000000,0.000000,0.000000,0.000000,0.011965,0.000000,-0.002996,0.000000,-0.002304,0.000000,-0.000008,0.000000,-0.122173
173.939784,0.000000,15.019288,0.000000,0.137450,0.137450,0.052640,0.000000,0.000000,0.000000,0.000000,0.016227,0.000000,-0.003220,0.000000,-0.002477,0.000000,-0.000009,0.000000,-0.122173
178.802751,0.000000,14.872611,0.000000,0.137819,0.137819,0.051604,0.000000,0.000000,0.000000,0.000000,0.016227,0.000000,-0.003456,0.000000,-0.002658,0.000000,-0.000009,0.000000,-0.122173
183.623774,0.000000,14.963576,0.000000,0.138199,0.138199,0.052223,0.000000,0.000000,0.000000,0.000000,0.016227,0.000000,-0.003705,0.000000,-0.002850,0.000000,-0.000010,0.000000,-0.122173
188.482173,0.000000,15.164732,0.000000,0.138589,0.138589,0.053622,0.000000,0.000000,0.000000,0.000000,0.016227,0.000000,-0.003968,0.000000,-0.003052,0.000000,-0.000010,0.000000,-0.122173
193.347886,0.000000,14.899656,0.000000,0.138989,0.138989,0.051750,0.000000,0.000000,0.000000,0.000000,0.016227,0.000000,-0.004244,0.000000,-0.003265,0.000000,-0.000011,0.000000,-0.122173
198.191448,0.000000,15.099867,0.000000,0.139400,0.139400,0.053135,0.000000,0.000000,0.000000,0.000000,0.021572,0.000000,-0.004535,0.000000,-0.003488,0.000000,-0.000011,0.000000,-0.122173
203.013890,0.000000,14.839295,0.000000,0.139820,0.139820,0.051301,0.000000,0.000000,0.000000,0.000000,0.021572,0.000000,-0.004841,0.000000,-0.003724,0.000000,-0.000012,0.000000,-0.122173
